impl,latency_us,batch,draft,heads,tokens_s,note
b10_spec_verify_conv_gated,7.875840067863464,1,4,96,507882.32944464916,ONE kernel: conv4+SiLU + cached-replay verify + ring append + gated RMSNorm (b10 CuTeDSL)
b10_spec_verify_gated + conv,9.148799777030945,1,4,96,437215.8203792408,"TWO launches: sglang conv, then the b10 kernel without the conv fused — prices the conv fusion"
trt_replay_chain,14.325759410858154,1,4,96,279217.30955276376,THREE launches (production TRT-LLM): conv + cached-replay verify (Triton) + gated norm
triton_chunk_replay_chain,17.301119565963745,1,4,96,231198.91084211366,"THREE launches: TRT's chain with the verify T-loop replaced by the chunk-form (WY) Triton kernel — tensor-core GEMMs, no sequential loop (KDA.md Appendix A)"
cutedsl_chunk_conv_gated,7.79263973236084,1,4,96,513304.87965317105,ONE generated CuTeDSL kernel: conv + WY chunk verify + gated norm
b10_spec_verify_conv_gated,15.764479637145996,4,4,96,1014939.9389180627,ONE kernel: conv4+SiLU + cached-replay verify + ring append + gated RMSNorm (b10 CuTeDSL)
b10_spec_verify_gated + conv,16.45568013191223,4,4,96,972308.6418635144,"TWO launches: sglang conv, then the b10 kernel without the conv fused — prices the conv fusion"
trt_replay_chain,30.766079425811768,4,4,96,520053.26315892255,THREE launches (production TRT-LLM): conv + cached-replay verify (Triton) + gated norm
triton_chunk_replay_chain,22.917120456695557,4,4,96,698167.9932360514,"THREE launches: TRT's chain with the verify T-loop replaced by the chunk-form (WY) Triton kernel — tensor-core GEMMs, no sequential loop (KDA.md Appendix A)"
cutedsl_chunk_conv_gated,10.683519840240479,4,4,96,1497633.761088223,ONE generated CuTeDSL kernel: conv + WY chunk verify + gated norm
b10_spec_verify_conv_gated,56.06016159057617,16,4,96,1141630.6729083445,ONE kernel: conv4+SiLU + cached-replay verify + ring append + gated RMSNorm (b10 CuTeDSL)
b10_spec_verify_gated + conv,57.11935997009277,16,4,96,1120460.73404026,"TWO launches: sglang conv, then the b10 kernel without the conv fused — prices the conv fusion"
trt_replay_chain,114.4480037689209,16,4,96,559205.9091674574,THREE launches (production TRT-LLM): conv + cached-replay verify (Triton) + gated norm
triton_chunk_replay_chain,75.77023983001709,16,4,96,844658.8019726156,"THREE launches: TRT's chain with the verify T-loop replaced by the chunk-form (WY) Triton kernel — tensor-core GEMMs, no sequential loop (KDA.md Appendix A)"
cutedsl_chunk_conv_gated,36.52735948562622,16,4,96,1752111.3187824173,ONE generated CuTeDSL kernel: conv + WY chunk verify + gated norm
b10_spec_verify_conv_gated,197.36703872680664,64,4,96,1297075.751105292,ONE kernel: conv4+SiLU + cached-replay verify + ring append + gated RMSNorm (b10 CuTeDSL)
b10_spec_verify_gated + conv,195.08991241455078,64,4,96,1312215.4643035568,"TWO launches: sglang conv, then the b10 kernel without the conv fused — prices the conv fusion"
trt_replay_chain,420.816650390625,64,4,96,608340.947922015,THREE launches (production TRT-LLM): conv + cached-replay verify (Triton) + gated norm
triton_chunk_replay_chain,234.30335998535156,64,4,96,1092600.6354155778,"THREE launches: TRT's chain with the verify T-loop replaced by the chunk-form (WY) Triton kernel — tensor-core GEMMs, no sequential loop (KDA.md Appendix A)"
cutedsl_chunk_conv_gated,122.19200134277344,64,4,96,2095063.4835897963,ONE generated CuTeDSL kernel: conv + WY chunk verify + gated norm
