impl,latency_us,batch,draft,heads,tokens_s,note
b10_spec_snapshot_conv_gated,8.296319842338562,1,4,96,482141.48875828326,ONE kernel: conv4+SiLU + recurrence + T full-state snapshots + gated RMSNorm (b10 CuTeDSL)
b10_spec_snapshot_gated + conv,9.623680114746094,1,4,96,415641.41288018425,"TWO launches: sglang conv, then the b10 kernel without the conv fused — prices the conv fusion"
sglang_save_ssm_chain,18.24128031730652,1,4,96,219282.85352892565,THREE launches (production SGLang): causal_conv1d_update + verify T-loop with snapshots + FusedRMSNormGated
b10_spec_snapshot_conv_gated,26.632959842681885,4,4,96,600759.363379449,ONE kernel: conv4+SiLU + recurrence + T full-state snapshots + gated RMSNorm (b10 CuTeDSL)
b10_spec_snapshot_gated + conv,30.10751962661743,4,4,96,531428.6994885734,"TWO launches: sglang conv, then the b10 kernel without the conv fused — prices the conv fusion"
sglang_save_ssm_chain,49.40927982330322,4,4,96,323825.8087796256,THREE launches (production SGLang): causal_conv1d_update + verify T-loop with snapshots + FusedRMSNormGated
b10_spec_snapshot_conv_gated,90.43071746826172,16,4,96,707724.1206502862,ONE kernel: conv4+SiLU + recurrence + T full-state snapshots + gated RMSNorm (b10 CuTeDSL)
b10_spec_snapshot_gated + conv,94.8038387298584,16,4,96,675078.1493391496,"TWO launches: sglang conv, then the b10 kernel without the conv fused — prices the conv fusion"
sglang_save_ssm_chain,132.60479927062988,16,4,96,482637.1319290184,THREE launches (production SGLang): causal_conv1d_update + verify T-loop with snapshots + FusedRMSNormGated
b10_spec_snapshot_conv_gated,332.16575622558594,64,4,96,770699.5534667367,ONE kernel: conv4+SiLU + recurrence + T full-state snapshots + gated RMSNorm (b10 CuTeDSL)
b10_spec_snapshot_gated + conv,342.4697494506836,64,4,96,747511.2777423997,"TWO launches: sglang conv, then the b10 kernel without the conv fused — prices the conv fusion"
sglang_save_ssm_chain,452.7724838256836,64,4,96,565405.3838186851,THREE launches (production SGLang): causal_conv1d_update + verify T-loop with snapshots + FusedRMSNormGated
