"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","GPU Speed Of Light Throughput","DRAM Frequency","hz","3992995689.66",
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","GPU Speed Of Light Throughput","SM Frequency","hz","2021864897.63",
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","150584",
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","GPU Speed Of Light Throughput","Memory Throughput","%","37.43",
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","GPU Speed Of Light Throughput","DRAM Throughput","%","11.11",
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","GPU Speed Of Light Throughput","Duration","ns","74240",
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","41.31",
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","GPU Speed Of Light Throughput","L2 Cache Throughput","%","14.12",
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","GPU Speed Of Light Throughput","SM Active Cycles","cycle","135408.01",
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","35.70",
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","SpeedOfLight","","","","SOLBottleneck","OPT","This workload exhibits low compute throughput and memory bandwidth utilization relative to the peak performance of this device. Achieved compute throughput and/or memory bandwidth below 60.0% of peak typically indicate latency issues. Look at Scheduler Statistics and Warp State Statistics for potential reasons.","",""
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","SpeedOfLight_RooflineChart","","","","SOLFPRoofline","INF","The ratio of peak float (FP32) to double (FP64) performance on this device is 64:1. The workload achieved 9% of this device's FP32 peak performance and 0% of its FP64 peak performance. See the Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#roofline) for more details on roofline analysis.","",""
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","PM Sampling","Maximum Buffer Size","byte","30146560",
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","PM Sampling","Maximum Sampling Interval","ns","1000",
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","PM Sampling","# Pass Groups","","2",
"0","103307","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o8192307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_t_0","1","7","(128, 1, 1)","(3, 342, 8)","0","10.3","Compute Workload Analysis","Executed Ipc Active","inst/cycle","1.58",
